Year,U.S. Blue-Collar,U.S. Unskilled,U.K. Wage ,U.S. Population,World Population
1800,0.04,0.04,0.0076," 5,308,483 "," 985,340,629 "
1801,0.04,0.04,0.0076," 5,501,623 "," 987,628,322 "
1802,0.04,0.05,0.0074," 5,694,763 "," 991,098,738 "
1803,0.04,0.03,0.0076," 5,887,902 "," 994,610,260 "
1804,0.05,0.04,0.0079," 6,081,042 "," 998,163,240 "
1805,0.05,0.04,0.0085," 6,274,182 "," 1,001,758,044 "
1806,0.05,0.05,0.0085," 6,467,322 "," 1,005,395,067 "
1807,0.05,0.04,0.0086," 6,660,462 "," 1,009,074,742 "
1808,0.05,0.04,0.0086," 6,853,601 "," 1,012,797,513 "
1809,0.05,0.06,0.0088," 7,046,741 "," 1,016,563,866 "
1810,0.05,0.05,0.0090," 7,239,881 "," 1,022,629,692 "
1811,0.05,0.06,0.0090," 7,479,738 "," 1,027,487,469 "
1812,0.05,0.06,0.0092," 7,719,595 "," 1,033,636,618 "
1813,0.05,0.05,0.0092," 7,959,453 "," 1,040,443,689 "
1814,0.05,0.06,0.0091," 8,199,310 "," 1,047,427,292 "
1815,0.05,0.06,0.0087," 8,439,167 "," 1,054,586,106 "
1816,0.05,0.07,0.0085," 8,679,024 "," 1,061,924,513 "
1817,0.05,0.06,0.0084," 8,918,881 "," 1,069,447,070 "
1818,0.05,0.04,0.0082," 9,158,739 "," 1,077,158,552 "
1819,0.05,0.05,0.0082," 9,398,596 "," 1,084,757,875 "
1820,0.04,0.04,0.0079," 9,638,453 "," 1,093,424,863 "
1821,0.05,0.05,0.0075," 9,961,210 "," 1,099,331,577 "
1822,0.05,0.04,0.0074," 10,283,966 "," 1,106,263,783 "
1823,0.05,0.05,0.0073," 10,606,723 "," 1,113,514,792 "
1824,0.05,0.05,0.0074," 10,929,480 "," 1,120,876,169 "
1825,0.05,0.04,0.0075," 11,252,237 "," 1,128,342,960 "
1826,0.05,0.04,0.0075," 11,574,993 "," 1,135,961,188 "
1827,0.05,0.04,0.0073," 11,897,750 "," 1,143,684,846 "
1828,0.05,0.04,0.0073," 12,220,507 "," 1,151,515,422 "
1829,0.06,0.04,0.0073," 12,543,263 "," 1,158,898,384 "
1830,0.06,0.04,0.0072," 12,866,020 "," 1,166,619,223 "
1831,0.06,0.04,0.0073," 13,286,363 "," 1,172,266,726 "
1832,0.05,0.04,0.0073," 13,706,707 "," 1,178,216,298 "
1833,0.06,0.04,0.0073," 14,127,050 "," 1,183,684,120 "
1834,0.05,0.05,0.0073," 14,547,393 "," 1,189,202,983 "
1835,0.05,0.05,0.0073," 14,967,737 "," 1,194,812,021 "
1836,0.05,0.05,0.0075," 15,388,080 "," 1,200,422,586 "
1837,0.06,0.06,0.0076," 15,808,423 "," 1,206,132,721 "
1838,0.06,0.05,0.0078," 16,228,766 "," 1,211,908,617 "
1839,0.06,0.05,0.0079," 16,649,110 "," 1,217,625,799 "
1840,0.06,0.04,0.0080," 17,069,453 "," 1,224,117,982 "
1841,0.06,0.05,0.0080," 17,681,695 "," 1,228,828,189 "
1842,0.06,0.05,0.0079," 18,293,938 "," 1,234,333,753 "
1843,0.06,0.05,0.0078," 18,906,180 "," 1,239,880,237 "
1844,0.06,0.05,0.0079," 19,518,422 "," 1,245,319,917 "
1845,0.06,0.05,0.0080," 20,130,665 "," 1,250,936,428 "
1846,0.06,0.05,0.0083," 20,742,907 "," 1,256,637,463 "
1847,0.06,0.04,0.0086," 21,355,149 "," 1,262,424,720 "
1848,0.07,0.05,0.0082," 21,967,391 "," 1,268,300,005 "
1849,0.06,0.05,0.0081," 22,579,634 "," 1,273,394,934 "
1850,0.06,0.05,0.0081," 23,191,876 "," 1,278,810,377 "
1851,0.06,0.05,0.0081," 24,017,021 "," 1,280,744,899 "
1852,0.07,0.05,0.0082," 24,842,165 "," 1,282,983,708 "
1853,0.07,0.05,0.0087," 25,667,310 "," 1,284,472,373 "
1854,0.07,0.06,0.0093," 26,492,454 "," 1,286,078,878 "
1855,0.07,0.06,0.0095," 27,317,599 "," 1,287,785,678 "
1856,0.07,0.06,0.0097," 28,142,743 "," 1,289,613,085 "
1857,0.07,0.06,0.0096," 28,967,888 "," 1,291,556,308 "
1858,0.08,0.06,0.0093," 29,793,032 "," 1,293,616,943 "
1859,0.08,0.06,0.0094," 30,618,177 "," 1,296,053,087 "
1860,0.08,0.06,0.0097," 31,443,321 "," 1,300,098,076 "
1861,0.08,0.06,0.0099," 32,154,826 "," 1,302,046,862 "
1862,0.09,0.06,0.0100," 32,866,331 "," 1,305,560,612 "
1863,0.10,0.07,0.0100," 33,577,836 "," 1,309,444,051 "
1864,0.11,0.08,0.0101," 34,289,341 "," 1,313,410,603 "
1865,0.11,0.09,0.0104," 35,000,846 "," 1,317,453,657 "
1866,0.11,0.09,0.0109," 35,712,351 "," 1,321,572,626 "
1867,0.11,0.09,0.0110," 36,423,856 "," 1,325,775,239 "
1868,0.11,0.09,0.0110," 37,135,361 "," 1,330,060,419 "
1869,0.11,0.09,0.0109," 37,846,866 "," 1,334,928,493 "
1870,0.11,0.09,0.0111," 38,558,371 "," 1,341,697,614 "
1871,0.12,0.09,0.0115," 39,721,455 "," 1,346,406,314 "
1872,0.12,0.09,0.0124," 40,884,539 "," 1,353,032,986 "
1873,0.12,0.08,0.0133," 42,047,622 "," 1,360,261,504 "
1874,0.12,0.08,0.0134," 43,210,706 "," 1,367,561,973 "
1875,0.12,0.08,0.0134," 44,373,790 "," 1,374,962,430 "
1876,0.11,0.07,0.0134," 45,536,874 "," 1,382,443,050 "
1877,0.11,0.07,0.0135," 46,699,958 "," 1,389,974,777 "
1878,0.11,0.07,0.0133," 47,863,041 "," 1,397,574,403 "
1879,0.11,0.07,0.0130," 49,026,125 "," 1,405,702,618 "
1880,0.11,0.07,0.0130," 50,189,209 "," 1,415,841,209 "
1881,0.11,0.07,0.0131," 51,468,265 "," 1,423,704,727 "
1882,0.11,0.08,0.0133," 52,747,320 "," 1,433,553,127 "
1883,0.11,0.08,0.0133," 54,026,376 "," 1,444,009,167 "
1884,0.12,0.08,0.0133," 55,305,432 "," 1,454,595,037 "
1885,0.12,0.08,0.0131," 56,584,488 "," 1,465,369,425 "
1886,0.12,0.08,0.0130," 57,863,543 "," 1,476,245,076 "
1887,0.13,0.08,0.0131," 59,142,599 "," 1,487,277,339 "
1888,0.13,0.08,0.0132," 60,421,655 "," 1,498,437,207 "
1889,0.13,0.08,0.0135," 61,700,710 "," 1,509,373,834 "
1890,0.13,0.08,0.0140," 62,979,766 "," 1,521,669,265 "
1891,0.13,0.08,0.0143," 64,303,006 "," 1,530,611,585 "
1892,0.13,0.08,0.0143," 65,626,246 "," 1,540,822,549 "
1893,0.14,0.08,0.0144," 66,949,487 "," 1,550,822,689 "
1894,0.13,0.08,0.0144," 68,272,727 "," 1,560,960,959 "
1895,0.13,0.08,0.0144," 69,595,967 "," 1,571,250,732 "
1896,0.13,0.08,0.0146," 70,919,207 "," 1,581,628,826 "
1897,0.13,0.08,0.0149," 72,242,447 "," 1,592,152,786 "
1898,0.13,0.08,0.0153," 73,565,688 "," 1,602,801,870 "
1899,0.13,0.08,0.0154," 74,888,928 "," 1,614,109,121 "
1900,0.14,0.09,0.0160," 76,212,168 "," 1,627,883,132 "
1901,0.14,0.09,0.0161," 77,813,801 "," 1,638,647,517 "
1902,0.15,0.09,0.0162," 79,415,434 "," 1,651,840,077 "
1903,0.15,0.09,0.0162," 81,017,066 "," 1,665,703,540 "
1904,0.15,0.09,0.0162," 82,618,699 "," 1,679,752,718 "
1905,0.16,0.10,0.0163," 84,220,332 "," 1,693,984,163 "
1906,0.16,0.10,0.0165," 85,821,965 "," 1,708,411,294 "
1907,0.17,0.11,0.0169," 87,423,598 "," 1,723,032,738 "
1908,0.16,0.10,0.0170," 89,025,230 "," 1,737,874,788 "
1909,0.17,0.10,0.0171," 90,626,863 "," 1,752,122,665 "
1910,0.18,0.11,0.0172," 92,228,496 "," 1,767,847,653 "
1911,0.18,0.10,0.0175," 93,607,800 "," 1,778,784,032 "
1912,0.19,0.10,0.0180," 94,987,104 "," 1,791,197,929 "
1913,0.20,0.11,0.0186," 96,366,408 "," 1,803,056,235 "
1914,0.20,0.11,0.0188," 97,745,712 "," 1,815,104,863 "
1915,0.20,0.11,0.0218," 99,125,017 "," 1,827,290,389 "
1916,0.24,0.14,0.0248," 100,504,321 "," 1,839,559,287 "
1917,0.29,0.17,0.0317," 101,883,625 "," 1,851,899,055 "
1918,0.36,0.21,0.0394," 103,262,929 "," 1,864,869,126 "
1919,0.43,0.25,0.0497," 104,642,233 "," 1,878,650,358 "
1920,0.54,0.29,0.0597," 106,021,537 "," 1,895,682,150 "
1921,0.48,0.24,0.0583," 107,739,646 "," 1,908,748,639 "
